year,to,from,points
1971,France,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,67
1971,Germany,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,81
1971,Ireland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,62
1971,Italy,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,68
1971,Luxembourg,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,53
1971,Netherlands,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,72
1971,Norway,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
1971,Portugal,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,68
1971,Spain,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,91
1971,Sweden,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,71
1971,Switzerland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,65
1971,United Kingdom,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,76
1972,Austria,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,82
1972,Belgium,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,44
1972,Finland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,66
1972,France,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,65
1972,Germany,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,90
1972,Ireland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,58
1972,Italy,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,76
1972,Luxembourg,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,107
1972,Netherlands,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,89
1972,Norway,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,59
1972,Portugal,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,77
1972,Spain,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,69
1972,Sweden,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,59
1972,Switzerland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,73
1972,United Kingdom,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,94
1973,Belgium,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,48
1973,Finland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,81
1973,France,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,53
1973,Germany,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,76
1973,Ireland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,69
1973,Israel,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,83
1973,Italy,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,64
1973,Luxembourg,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,113
1973,Netherlands,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,60
1973,Norway,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,76
1973,Portugal,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,70
1973,Spain,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,107
1973,Sweden,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,83
1973,Switzerland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,68
1973,United Kingdom,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,107
1974,Belgium,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1974,Finland,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1974,Germany,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1974,Greece,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1974,Ireland,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1974,Israel,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1974,Italy,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,14
1974,Luxembourg,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1974,Netherlands,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,12
1974,Norway,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1974,Portugal,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1974,Spain,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1974,Sweden,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,23
1974,Switzerland,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1974,United Kingdom,BelgiumFinlandGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1975,Belgium,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
1975,Finland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1975,France,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,77
1975,Germany,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
1975,Ireland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
1975,Israel,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1975,Italy,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,94
1975,Luxembourg,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,72
1975,Netherlands,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,122
1975,Norway,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
1975,Portugal,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
1975,Spain,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,45
1975,Sweden,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1975,Switzerland,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,66
1975,Turkey,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1975,United Kingdom,BelgiumFinlandFranceGermanyIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,106
1976,Austria,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,73
1976,Belgium,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,60
1976,Finland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,37
1976,France,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,123
1976,Germany,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,9
1976,Greece,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,20
1976,Ireland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,47
1976,Israel,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,68
1976,Italy,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,63
1976,Luxembourg,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,17
1976,Netherlands,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,49
1976,Norway,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,7
1976,Portugal,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,24
1976,Spain,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,8
1976,Switzerland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,80
1976,United Kingdom,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,144
1977,Austria,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1977,Belgium,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,69
1977,Finland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,50
1977,France,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,132
1977,Germany,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,54
1977,Greece,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,82
1977,Ireland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,111
1977,Israel,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,42
1977,Italy,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,27
1977,Luxembourg,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,17
1977,Netherlands,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,32
1977,Norway,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,18
1977,Portugal,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
1977,Spain,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
1977,Sweden,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1977,Switzerland,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,71
1977,United Kingdom,AustriaBelgiumFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,109
1978,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
1978,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,113
1978,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1978,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,2
1978,France,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,114
1978,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,74
1978,Greece,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,66
1978,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,86
1978,Israel,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,154
1978,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,45
1978,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,67
1978,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,36
1978,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1978,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1978,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1978,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
1978,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
1978,Turkey,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,2
1978,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,54
1979,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1979,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1979,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,73
1979,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,38
1979,France,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,96
1979,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,74
1979,Greece,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,62
1979,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,80
1979,Israel,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,117
1979,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,27
1979,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,40
1979,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,51
1979,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,51
1979,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,59
1979,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,116
1979,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1979,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,58
1979,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,72
1980,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
1980,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
1980,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,23
1980,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
1980,France,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,44
1980,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,118
1980,Greece,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,30
1980,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,143
1980,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,87
1980,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,56
1980,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,93
1980,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
1980,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,71
1980,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,33
1980,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1980,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,97
1980,Turkey,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
1980,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,98
