year,to,from,points
1959,Germany,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,5
1959,Italy,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,8
1959,Netherlands,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,20
1959,Sweden,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,4
1959,Switzerland,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,13
1959,United Kingdom,AustriaBelgiumDenmarkFranceGermanyItalyNetherlandsSwedenSwitzerlandUnited Kingdom,14
1960,Austria,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,6
1960,Belgium,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,9
1960,Denmark,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,4
1960,France,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,27
1960,Germany,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,9
1960,Italy,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,3
1960,Luxembourg,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,1
1960,Netherlands,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,2
1960,Norway,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,11
1960,Sweden,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,4
1960,Switzerland,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,5
1960,United Kingdom,AustriaBelgiumDenmarkFranceGermanyItalyLuxembourgNetherlandsNorwaySwedenSwitzerlandUnited Kingdom,24
1961,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,1
1961,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,1
1961,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,12
1961,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,6
1961,France,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,11
1961,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,3
